timestamp,payload_size,latency,jitter,throughput,packet_loss,best_protocol,device_archetype
2025-01-02T14:57:00,63.155,18.701,1.516,6.756,1.4329,MQTT,env_sensor
2025-01-01T10:27:00,2221.548,78.647,6.033,149.685,0.8667,HTTPS,camera
2025-01-02T05:15:00,76.435,37.376,3.225,13.055,0.5021,MQTT,actuator
2025-01-01T10:05:00,30.013,198.772,2.594,0.49,6.1024,LoRaWAN,smart_meter
2025-01-01T22:26:00,28.638,301.85,4.505,0.59,3.6371,LoRaWAN,smart_meter
2025-01-01T11:22:00,1382.687,7.292,0.265,162.234,0.366,HTTPS,camera
2025-01-02T00:59:00,1444.237,45.867,4.8,0.05,0.9924,HTTPS,gateway
2025-01-01T23:31:00,122.985,23.405,7.278,8.929,1.0301,CoAP,actuator
2025-01-02T09:36:00,38.867,25.755,2.785,6.021,0.5098,MQTT,env_sensor
2025-01-01T22:08:00,2168.315,74.165,0.957,153.212,0.7362,HTTPS,camera
2025-01-02T03:51:00,55.298,33.575,2.287,0.05,0.9459,HTTPS,env_sensor
2025-01-01T21:52:00,27.012,251.329,3.075,0.219,3.9979,LoRaWAN,smart_meter
2025-01-01T05:43:00,31.434,210.567,2.308,0.48,2.7628,LoRaWAN,smart_meter
2025-01-01T08:26:00,83.35,17.383,0.1,4.301,0.5957,MQTT,env_sensor
2025-01-01T01:24:00,64.097,27.964,3.162,3.893,1.7767,MQTT,env_sensor
2025-01-01T07:35:00,89.342,29.717,8.542,8.848,0.896,MQTT,actuator
2025-01-01T08:34:00,1218.717,36.814,14.577,41.783,0.0406,HTTPS,gateway
2025-01-02T01:19:00,61.078,22.093,0.46,8.012,1.0583,MQTT,env_sensor
2025-01-02T09:30:00,2998.837,59.511,2.817,54.829,0.2636,HTTPS,camera
2025-01-02T00:19:00,129.879,8.918,7.825,10.516,0.282,MQTT,actuator
2025-01-01T22:31:00,96.44,21.026,7.713,12.097,0.0,CoAP,actuator
2025-01-01T04:12:00,105.108,21.407,10.624,11.801,0.7771,MQTT,actuator
2025-01-02T05:43:00,101.55,30.812,3.646,8.819,0.5018,MQTT,actuator
2025-01-02T17:14:00,72.748,20.738,2.944,4.918,1.3825,MQTT,env_sensor
2025-01-01T14:27:00,57.903,8.357,2.282,5.145,3.1276,MQTT,env_sensor
2025-01-01T07:48:00,70.819,17.741,6.061,0.05,0.4835,CoAP,actuator
2025-01-01T04:18:00,1723.35,41.458,6.058,156.491,0.4663,HTTPS,gateway
2025-01-01T10:43:00,26.517,215.931,1.845,0.748,3.8621,LoRaWAN,smart_meter
2025-01-01T13:21:00,3004.941,63.234,0.1,189.315,0.3872,HTTPS,camera
2025-01-01T04:33:00,357.671,53.445,11.911,19.019,0.0702,CoAP,gateway
2025-01-01T00:45:00,91.012,46.627,3.172,6.052,2.5727,MQTT,env_sensor
2025-01-02T03:25:00,2038.192,24.469,11.809,131.591,1.7696,HTTPS,gateway
2025-01-01T18:03:00,122.022,25.178,7.349,13.246,1.3031,MQTT,actuator
2025-01-01T05:38:00,59.446,26.815,0.1,6.657,2.218,MQTT,env_sensor
2025-01-02T12:37:00,955.889,82.608,9.068,25.267,1.0303,CoAP,gateway
2025-01-01T22:32:00,108.191,32.971,3.425,1.887,1.4539,MQTT,env_sensor
2025-01-02T01:28:00,124.624,31.489,6.267,10.192,1.6434,CoAP,actuator
2025-01-01T14:30:00,1891.91,45.066,0.1,171.903,0.2255,HTTPS,camera
2025-01-01T23:34:00,128.322,20.86,6.088,6.916,1.0085,MQTT,actuator
2025-01-01T02:25:00,1133.612,88.576,4.221,228.589,1.4428,HTTPS,camera
2025-01-01T02:22:00,649.325,45.896,2.187,20.794,0.1496,HTTPS,gateway
2025-01-02T05:33:00,414.736,99.238,0.225,146.717,1.0554,CoAP,camera
2025-01-02T03:36:00,23.041,62.458,2.522,0.463,4.2346,MQTT,smart_meter
2025-01-01T06:09:00,80.365,32.154,1.383,4.907,1.429,MQTT,env_sensor
2025-01-01T21:32:00,19.803,173.088,0.973,0.839,2.1411,LoRaWAN,smart_meter
2025-01-01T03:18:00,244.327,25.975,6.11,102.582,0.0,HTTPS,camera
2025-01-02T01:23:00,14.535,261.021,4.092,0.694,5.2151,LoRaWAN,smart_meter
2025-01-02T12:17:00,141.673,9.562,5.652,13.821,1.9765,MQTT,actuator
2025-01-01T08:11:00,21.154,193.563,2.951,0.05,2.8565,LoRaWAN,smart_meter
2025-01-01T01:44:00,1311.931,30.855,4.106,54.459,1.6337,HTTPS,gateway
2025-01-02T11:37:00,20.795,274.312,1.438,0.644,4.8124,LoRaWAN,smart_meter
2025-01-02T14:27:00,1438.792,92.832,0.954,88.686,0.1807,HTTPS,camera
2025-01-02T02:34:00,508.594,56.504,16.373,84.85,0.9122,HTTPS,gateway
2025-01-02T02:57:00,274.024,62.961,15.164,43.746,0.5231,CoAP,gateway
2025-01-01T04:56:00,582.947,13.49,9.865,0.05,0.6667,CoAP,gateway
2025-01-02T06:40:00,61.205,23.027,1.31,10.376,2.6218,MQTT,env_sensor
2025-01-02T10:52:00,145.017,14.77,3.802,11.842,0.9671,MQTT,actuator
2025-01-01T13:00:00,100.824,29.456,2.841,7.066,2.3668,MQTT,actuator
2025-01-01T03:19:00,1835.129,92.78,4.964,186.288,0.5309,HTTPS,camera
2025-01-01T14:42:00,270.141,88.643,12.244,98.994,2.3581,CoAP,gateway
